ip,url
10.152.168.193,https://10.152.168.193/xmldata?item=All
10.152.168.194,https://10.152.168.194/xmldata?item=All
10.152.168.196,https://10.152.168.196/xmldata?item=All
10.152.168.197,https://10.152.168.197/xmldata?item=All
10.152.168.202,https://10.152.168.202/xmldata?item=All
10.152.168.204,https://10.152.168.204/xmldata?item=All
10.152.168.207,https://10.152.168.207/xmldata?item=All
10.152.168.208,https://10.152.168.208/xmldata?item=All
10.152.168.209,https://10.152.168.209/xmldata?item=All
10.152.168.213,https://10.152.168.213/xmldata?item=All
10.152.168.216,https://10.152.168.216/xmldata?item=All
10.152.168.218,https://10.152.168.218/xmldata?item=All
10.152.168.220,https://10.152.168.220/xmldata?item=All
10.152.168.221,https://10.152.168.221/xmldata?item=All
